Timestamp start: 1778531971715
Timestamp end: 1778533052065

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      306.3   239.6    86.8   144.1   159.8   265.8   322.5   354.1   376.6   403.6   442.8   531.8  1164.9  2940.3  7394.3  86750.0    86837
read      342.2   226.1    93.8   146.8   164.3   312.3   379.3   417.1   444.1   475.0   516.2   584.0   972.4  3014.7  6319.9  33541.2    33517
read      432.3   606.4    93.8   144.6   160.7   293.6   366.3   412.9   451.5   502.1   585.7  1235.6  3463.6  6938.6  8426.6  66054.4    66204
read      344.6   308.6    86.8   144.7   159.5   281.1   352.1   398.1   437.0   489.5   561.6   690.3  1475.9  3912.2  7704.8  73871.8    73758
read      342.9   344.6    86.8   152.1   169.2   284.1   341.7   373.8   397.9   427.7   470.3   573.8  1804.0  3751.3  7824.1  99836.6    99742
read      316.9   256.0    86.8   155.1   173.0   283.7   337.4   367.3   389.5   416.3   453.5   526.1   856.1  3565.2  8108.0 109511.2   109462
read      289.8   204.3    86.8   146.1   161.1   260.6   315.0   344.5   365.7   389.9   420.6   468.9   778.6  2950.2  7214.1  94387.0    94453
read      375.0   327.1    86.8   144.7   162.4   326.1   412.7   461.0   495.1   534.8   584.0   672.2  1255.4  4730.1  9139.0  44081.6    44096
read      376.2   451.4    86.8   151.6   169.5   289.4   349.5   386.2   414.3   452.5   511.5   669.8  2809.6  5311.1  8101.6 100582.0   100467
read      249.6   137.5   101.3   154.6   170.7   236.2   262.6   277.1   289.7   304.3   322.3   355.1   468.5  1832.1  5924.4   8524.8     8576
read      350.3   337.7    93.8   141.9   156.7   285.1   353.1   395.6   428.9   471.1   535.7   696.8  1750.2  3824.3  8282.0  59274.8    59359
read      241.2   151.1   101.3   153.4   168.1   228.7   252.6   267.0   276.8   291.1   309.8   340.0   428.1  1775.3  7678.9   7633.4     7614
read      381.7   452.9    86.8   143.0   157.7   287.5   356.7   399.7   434.8   482.0   553.9   801.4  2619.8  5421.0  9116.5  60084.0    60329
read      359.6   341.2    93.8   143.9   161.0   312.5   388.6   431.8   463.5   501.2   550.8   631.2  1138.0  5439.3  8093.1  43761.4    43762
read      371.1   466.5    93.8   143.7   158.3   282.8   352.2   395.9   431.2   475.7   539.5   674.1  2681.9  6192.0  8933.2  66959.8    67038
