iso_timestamp,unix_timestamp_ms,cpu_0,cpu_1,cpu_2,cpu_3
2026-05-12T16:21:46.020871,1778602906020,69.90,68.90,100.00,100.00
2026-05-12T16:21:47.021577,1778602907021,72.60,69.70,100.00,100.00
2026-05-12T16:21:48.022453,1778602908022,66.90,66.70,100.00,100.00
2026-05-12T16:21:49.023196,1778602909023,71.00,68.90,100.00,100.00
2026-05-12T16:21:50.023707,1778602910023,65.30,68.80,100.00,100.00
2026-05-12T16:21:51.024427,1778602911024,69.40,72.10,100.00,100.00
2026-05-12T16:21:52.025217,1778602912025,68.50,67.80,100.00,100.00
2026-05-12T16:21:53.025767,1778602913025,69.60,70.40,100.00,100.00
2026-05-12T16:21:54.026189,1778602914026,70.00,71.30,100.00,100.00
2026-05-12T16:21:55.026697,1778602915026,67.20,65.90,100.00,100.00
2026-05-12T16:21:56.027168,1778602916027,70.50,70.20,100.00,100.00
2026-05-12T16:21:57.027646,1778602917027,66.10,69.00,100.00,100.00
2026-05-12T16:21:58.028328,1778602918028,67.20,70.00,100.00,100.00
2026-05-12T16:21:59.029158,1778602919029,68.70,88.60,100.00,100.00
2026-05-12T16:22:00.029835,1778602920029,75.60,100.00,100.00,100.00
2026-05-12T16:22:01.030340,1778602921030,71.00,100.00,100.00,100.00
2026-05-12T16:22:02.030890,1778602922030,71.40,100.00,100.00,100.00
2026-05-12T16:22:03.031415,1778602923031,75.20,100.00,100.00,100.00
2026-05-12T16:22:04.031884,1778602924031,71.20,100.00,100.00,100.00
2026-05-12T16:22:05.032480,1778602925032,75.40,100.00,100.00,100.00
2026-05-12T16:22:06.033303,1778602926033,71.40,100.00,100.00,100.00
2026-05-12T16:22:07.034213,1778602927034,75.60,100.00,100.00,100.00
2026-05-12T16:22:08.034970,1778602928034,71.90,100.00,100.00,100.00
2026-05-12T16:22:09.035372,1778602929035,75.60,100.00,100.00,100.00
2026-05-12T16:22:10.036046,1778602930036,71.20,100.00,100.00,100.00
2026-05-12T16:22:11.036709,1778602931036,71.50,100.00,100.00,100.00
2026-05-12T16:22:12.037339,1778602932037,75.80,100.00,100.00,100.00
2026-05-12T16:22:13.037794,1778602933037,75.20,100.00,100.00,100.00
2026-05-12T16:22:14.038582,1778602934038,96.20,94.20,100.00,100.00
2026-05-12T16:22:15.039333,1778602935039,85.70,73.50,100.00,100.00
2026-05-12T16:22:16.039878,1778602936039,86.40,79.10,100.00,100.00
2026-05-12T16:22:17.040772,1778602937040,79.30,77.40,100.00,100.00
2026-05-12T16:22:18.043163,1778602938043,79.50,80.20,100.00,100.00
2026-05-12T16:22:19.043665,1778602939043,82.30,82.90,100.00,100.00
2026-05-12T16:22:20.044212,1778602940044,81.40,82.30,76.80,100.00
2026-05-12T16:22:21.044978,1778602941045,79.60,80.00,24.40,100.00
2026-05-12T16:22:22.045489,1778602942045,86.00,87.20,62.50,100.00
2026-05-12T16:22:23.046416,1778602943046,82.30,85.60,100.00,100.00
2026-05-12T16:22:24.047717,1778602944047,77.30,80.30,100.00,100.00
2026-05-12T16:22:25.048224,1778602945048,80.50,82.10,100.00,100.00
2026-05-12T16:22:26.049072,1778602946049,77.30,79.10,100.00,100.00
2026-05-12T16:22:27.049561,1778602947049,76.70,82.50,100.00,100.00
2026-05-12T16:22:28.052236,1778602948052,76.90,78.90,100.00,100.00
2026-05-12T16:22:29.052870,1778602949052,70.80,84.10,100.00,100.00
2026-05-12T16:22:30.053343,1778602950053,81.80,100.00,100.00,100.00
2026-05-12T16:22:31.054034,1778602951054,76.90,100.00,100.00,100.00
2026-05-12T16:22:32.054835,1778602952054,80.60,100.00,100.00,100.00
2026-05-12T16:22:33.055309,1778602953055,76.30,100.00,100.00,100.00
2026-05-12T16:22:34.055861,1778602954055,78.00,100.00,100.00,100.00
2026-05-12T16:22:35.056408,1778602955056,81.30,100.00,100.00,100.00
2026-05-12T16:22:36.057194,1778602956057,77.30,100.00,100.00,100.00
2026-05-12T16:22:37.057698,1778602957057,82.80,100.00,100.00,100.00
2026-05-12T16:22:38.058237,1778602958058,77.50,100.00,100.00,100.00
2026-05-12T16:22:39.058902,1778602959058,82.50,100.00,100.00,100.00
2026-05-12T16:22:40.059447,1778602960059,77.50,100.00,100.00,100.00
2026-05-12T16:22:41.060054,1778602961060,76.90,100.00,100.00,100.00
2026-05-12T16:22:42.060964,1778602962060,80.60,100.00,100.00,100.00
2026-05-12T16:22:43.061516,1778602963061,78.00,100.00,100.00,100.00
2026-05-12T16:22:44.062229,1778602964062,91.00,100.00,100.00,100.00
2026-05-12T16:22:45.063000,1778602965063,80.70,83.30,100.00,100.00
2026-05-12T16:22:46.063519,1778602966063,65.90,65.90,100.00,100.00
2026-05-12T16:22:47.064347,1778602967064,67.20,64.80,100.00,100.00
2026-05-12T16:22:48.064800,1778602968064,90.10,98.00,100.00,100.00
2026-05-12T16:22:49.065420,1778602969065,92.60,95.90,100.00,100.00
2026-05-12T16:22:50.066251,1778602970066,73.00,73.50,100.00,100.00
2026-05-12T16:22:51.066918,1778602971066,65.90,68.00,100.00,100.00
2026-05-12T16:22:52.067422,1778602972067,64.10,62.70,100.00,100.00
2026-05-12T16:22:53.067860,1778602973067,90.00,98.00,100.00,100.00
2026-05-12T16:22:54.068392,1778602974068,87.60,100.00,100.00,100.00
2026-05-12T16:22:55.069896,1778602975069,88.60,99.00,100.00,100.00
2026-05-12T16:22:56.070348,1778602976070,68.30,64.50,100.00,100.00
2026-05-12T16:22:57.071046,1778602977071,66.40,63.20,100.00,100.00
2026-05-12T16:22:58.071861,1778602978071,69.90,65.30,100.00,100.00
2026-05-12T16:22:59.072361,1778602979072,76.80,91.50,100.00,100.00
2026-05-12T16:23:00.073312,1778602980073,82.80,100.00,100.00,100.00
2026-05-12T16:23:01.073924,1778602981073,79.40,100.00,100.00,100.00
2026-05-12T16:23:02.075046,1778602982075,79.20,100.00,100.00,100.00
2026-05-12T16:23:03.075835,1778602983075,88.50,100.00,100.00,100.00
2026-05-12T16:23:04.076404,1778602984076,84.90,100.00,100.00,100.00
2026-05-12T16:23:05.077355,1778602985077,85.30,100.00,100.00,100.00
2026-05-12T16:23:06.077979,1778602986077,75.00,100.00,99.00,100.00
2026-05-12T16:23:07.078449,1778602987078,78.70,97.00,91.80,100.00
2026-05-12T16:23:08.078889,1778602988078,76.30,96.00,91.00,100.00
2026-05-12T16:23:09.079424,1778602989079,75.60,94.90,92.90,100.00
2026-05-12T16:23:10.080097,1778602990080,78.70,99.00,95.00,100.00
2026-05-12T16:23:11.080998,1778602991081,75.00,97.00,86.90,100.00
2026-05-12T16:23:12.081846,1778602992081,78.10,96.90,96.90,100.00
2026-05-12T16:23:13.082305,1778602993082,72.90,98.00,93.90,100.00
2026-05-12T16:23:14.082838,1778602994082,57.40,98.00,94.90,100.00
2026-05-12T16:23:15.083540,1778602995083,55.70,98.00,96.00,100.00
2026-05-12T16:23:16.084874,1778602996084,56.80,98.00,96.00,100.00
2026-05-12T16:23:17.085303,1778602997085,56.30,97.00,96.00,100.00
2026-05-12T16:23:18.085915,1778602998085,54.00,97.00,94.90,100.00
2026-05-12T16:23:19.086324,1778602999086,58.30,97.00,96.00,100.00
2026-05-12T16:23:20.086927,1778603000086,54.00,97.00,95.00,100.00
2026-05-12T16:23:21.087503,1778603001087,58.10,98.00,97.00,100.00
2026-05-12T16:23:22.088299,1778603002088,54.30,98.00,94.00,100.00
2026-05-12T16:23:23.088891,1778603003088,59.10,97.00,94.90,100.00
2026-05-12T16:23:24.089449,1778603004089,53.30,94.90,96.00,100.00
2026-05-12T16:23:25.089977,1778603005089,55.80,97.00,96.00,100.00
2026-05-12T16:23:26.090475,1778603006090,56.60,98.00,95.00,100.00
