Memcached with T =1 thread, C=1 core
run 1
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      336.5   145.4    68.9   146.3   168.2   317.6   390.8   430.6   458.9   491.6   531.9   589.2   707.8   871.8  2994.5  64892.0    65000  1778110177383  1778110179583
read      823.0   366.1    86.8   505.1   587.4   741.4   795.8   837.9   875.4  1145.8  1337.8  1465.6  1612.8  6719.8  7924.4  74244.5    75000  1778110181087  1778110183287
read      868.1   386.3   187.4   618.7   654.3   765.8   806.6   845.0   870.6  1205.3  1413.1  1520.9  1670.6  7164.0  9062.0  75680.5    85000  1778110184791  1778110186991
read      896.1   377.1   118.1   642.1   669.3   790.2   843.4   872.4   925.0  1293.2  1441.8  1558.6  1721.8  7153.0  8027.5  73512.0    95000  1778110188494  1778110190694
read      820.1   375.5   118.1   559.5   599.8   719.8   771.0   804.5   864.2  1200.1  1328.1  1432.6  1582.6  7015.0  9054.0  79999.5   105000  1778110192199  1778110194398
read      862.0   366.9   118.1   620.0   650.1   753.6   798.8   836.8   869.9  1286.4  1403.6  1494.1  1628.9  7048.4  8101.9  76492.0   115000  1778110195902  1778110198104
read      814.4   349.3   118.1   585.4   609.5   708.9   747.7   787.9   833.1  1223.4  1329.0  1419.7  1557.3  6521.6  8972.6  80739.0   125000  1778110199609  1778110201814
run 3
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      214.4   112.3    93.8   147.6   157.1   202.6   223.7   234.7   244.4   254.8   272.3   301.8   379.9  1091.4  6990.4   4889.5     5000  1778110271750  1778110274005
read      279.2    95.0    86.8   159.9   178.2   270.1   309.6   331.5   346.0   364.9   387.9   422.2   496.1   623.4  3117.6  14786.5    15000  1778110275510  1778110277745
read      303.8   109.4    80.4   149.6   169.0   297.8   352.6   378.4   396.0   416.2   439.8   476.0   550.6   702.0  2196.6  25196.2    25000  1778110279249  1778110281450
read      308.7   133.2    74.4   142.9   161.9   297.8   362.8   393.3   414.1   436.5   464.7   505.7   594.0   930.1  2737.8  34861.5    35000  1778110282953  1778110285152
read      310.7   129.1    80.4   142.5   161.0   293.5   365.8   400.5   424.2   450.7   483.4   533.4   626.4   767.4  2199.2  45036.5    45000  1778110286656  1778110288855
read      322.3   149.4    74.4   141.4   161.3   303.8   376.2   414.0   440.2   469.7   506.5   560.0   662.7   858.0  3851.7  54581.1    55000  1778110290359  1778110292561
read      326.4   145.1    74.4   140.4   161.3   301.7   377.5   420.6   450.4   484.6   527.5   587.1   698.9   881.4  1815.8  65021.5    65000  1778110294066  1778110296264
read      531.1   291.2    80.4   194.3   238.5   490.9   600.1   662.2   705.8   755.4   838.0  1049.1  1390.0  1689.9  7459.0  74910.5    75000  1778110297768  1778110299969
read      847.4   364.4   118.1   603.9   645.1   748.4   792.7   822.4   859.6  1194.5  1393.5  1486.5  1614.2  7024.3  7535.0  76733.5    85000  1778110301473  1778110303677
read      857.3   373.3   109.4   611.8   646.7   751.6   796.7   831.8   865.3  1247.5  1399.4  1496.5  1631.1  7063.6  8614.9  76735.5    95000  1778110305182  1778110307382
read      817.8   352.6   118.1   589.1   611.8   710.9   748.7   790.3   843.5  1232.5  1334.0  1423.1  1557.5  6945.8  8651.9  80311.8   105000  1778110308886  1778110311087
read      902.1   393.0   148.8   650.7   683.1   794.2   843.4   869.6   916.6  1292.2  1460.4  1571.3  1721.6  7210.8  8927.2  73183.9   115000  1778110312591  1778110314800
read      890.9   375.5   118.1   646.4   673.1   781.4   827.7   860.2   903.5  1309.4  1448.4  1554.0  1704.4  7104.3  7978.6  73964.5   125000  1778110316305  1778110318508

Memcached with T =1 thread, C=3 cores
run 1
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      222.5    74.0   109.4   152.1   162.7   213.0   234.9   248.5   258.2   270.5   287.1   314.9   388.8  1037.0  2997.9   4892.5     5000  1778110376589  1778110378853
read      269.4    86.5    93.8   156.5   175.0   261.7   296.5   317.4   332.6   349.2   371.8   405.2   474.6   564.5  3001.2  14823.5    15000  1778110380356  1778110382598
read      290.2    99.1    86.8   148.6   166.5   283.1   334.3   360.1   377.3   396.8   420.9   455.9   522.6   614.6  1021.9  24817.0    25000  1778110384101  1778110386300
read      308.8   118.0    80.4   144.6   163.3   299.0   363.0   394.2   415.5   438.6   466.9   507.6   590.3   704.2  1568.6  35159.0    35000  1778110387803  1778110390006
read      314.2   152.0    80.4   143.0   161.6   295.1   368.7   403.2   427.2   453.7   485.8   534.8   635.7  1081.3  4337.3  45144.5    45000  1778110391510  1778110393714
read      323.1   138.4    80.4   144.3   163.7   302.5   379.1   418.0   444.6   474.0   511.0   565.5   668.2   877.4  2201.3  54822.3    55000  1778110395217  1778110397417
read      380.3   246.6    74.4   149.4   172.6   332.7   417.3   463.8   498.9   541.5   603.9   794.0  1175.4  2068.3  6468.4  64858.5    65000  1778110398920  1778110401122
read      530.7   300.9    74.4   187.5   229.7   487.1   611.0   673.8   714.9   759.8   822.1  1052.9  1463.7  1735.5  7386.9  74848.5    75000  1778110402625  1778110404834
read      858.4   376.9   109.4   604.2   639.1   755.1   803.7   845.7   881.7  1237.2  1387.9  1492.4  1657.2  7114.9  9626.8  76491.0    85000  1778110406337  1778110408539
