threads,cores,p95,qps,target,run
2,3,1001.7,112859.3,125000,2
2,3,343.2,4928.5,5000,3
2,3,383.0,14881.0,15000,3
2,3,430.2,25064.5,25000,3
2,3,438.9,35047.0,35000,3
2,3,469.4,44963.5,45000,3
2,3,464.7,54849.0,55000,3
2,3,461.4,64952.5,65000,3
2,3,478.3,75068.5,75000,3
2,3,483.6,85056.5,85000,3
2,3,493.6,94918.5,95000,3
2,3,800.5,105211.9,105000,3
2,3,928.9,111507.9,115000,3
2,3,939.6,115357.1,125000,3
3,1,363.3,4976.0,5000,1
3,1,453.8,15021.5,15000,1
3,1,491.6,24873.9,25000,1
3,1,531.0,34924.5,35000,1
3,1,561.1,45102.5,45000,1
3,1,615.6,55274.5,55000,1
3,1,803.8,64884.4,65000,1
3,1,4577.5,73050.0,75000,1
3,1,6181.4,75751.5,85000,1
3,1,6268.8,70489.5,95000,1
3,1,6234.4,75001.5,105000,1
3,1,6285.9,70712.0,115000,1
3,1,6263.8,71790.5,125000,1
3,1,357.5,4960.5,5000,2
3,1,437.0,15083.5,15000,2
3,1,502.1,25200.0,25000,2
3,1,528.4,34810.0,35000,2
3,1,562.8,44868.2,45000,2
3,1,622.3,54779.0,55000,2
3,1,717.7,64848.5,65000,2
3,1,3409.4,73234.5,75000,2
3,1,6236.2,72375.5,85000,2
3,1,6217.1,74651.0,95000,2
3,1,6275.2,70520.0,105000,2
3,1,6242.0,72072.2,115000,2
3,1,6231.9,74351.0,125000,2
3,1,364.9,4948.5,5000,3
3,1,449.9,14816.0,15000,3
3,1,491.3,24953.8,25000,3
3,1,543.3,34989.7,35000,3
3,1,574.3,44851.0,45000,3
3,1,611.9,55222.0,55000,3
3,1,1020.1,65232.9,65000,3
3,1,2758.4,75062.7,75000,3
3,1,6244.7,72692.0,85000,3
3,1,6234.8,72700.0,95000,3
3,1,6279.7,69936.0,105000,3
3,1,6256.8,72173.0,115000,3
3,1,6249.4,73225.2,125000,3
3,2,345.0,4994.5,5000,1
3,2,384.0,14950.0,15000,1
3,2,411.9,25060.0,25000,1
3,2,446.7,34933.2,35000,1
3,2,469.7,45010.3,45000,1
3,2,492.1,54835.4,55000,1
3,2,513.3,64995.0,65000,1
3,2,547.9,75052.1,75000,1
3,2,631.4,85403.4,85000,1
3,2,783.0,94489.9,95000,1
3,2,939.9,105252.2,105000,1
3,2,3024.2,111963.9,115000,1
3,2,2728.8,118914.0,125000,1
3,2,318.8,5043.0,5000,2
3,2,373.9,15054.0,15000,2
3,2,419.2,25064.0,25000,2
3,2,432.9,34884.5,35000,2
3,2,467.8,45138.0,45000,2
3,2,493.9,54770.0,55000,2
3,2,520.6,65202.0,65000,2
3,2,556.1,75291.0,75000,2
3,2,644.2,85107.4,85000,2
3,2,783.7,95046.9,95000,2
3,2,1197.2,105171.4,105000,2
3,2,1389.2,115347.0,115000,2
3,2,3099.4,112589.2,125000,2
3,2,321.7,5007.5,5000,3
3,2,380.9,14856.5,15000,3
3,2,405.0,25005.0,25000,3
3,2,434.5,35110.3,35000,3
3,2,469.1,44937.0,45000,3
3,2,489.0,54870.5,55000,3
3,2,518.6,64786.5,65000,3
3,2,567.8,74729.3,75000,3
3,2,605.9,85047.2,85000,3
3,2,774.3,94806.0,95000,3
3,2,1957.0,104575.4,105000,3
3,2,3070.6,109654.8,115000,3
3,2,2888.7,114262.8,125000,3
3,3,315.8,4995.5,5000,1
